hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
4bb043,2026-02-17 23:04:50.196094,17650.0,17675.0,-960.0,377.7,41.348442,29.79823,313.7,THY7AK,A3,-17.1,9.0,64.65210853913376,219.4756758397595,94.22432416024049,ARRIVAL,2026-02-17 23:23:15.206593998,"[64.65, 17675.0, 377.7, 94.2, -960.0, 3, -17.1]"
4bb056,2026-02-18 07:37:46.353662,3250.0,2800.0,1088.0,124.8,40.934593,29.437741,243.8,TKJ1628,A3,-16.4,9.0,11.518454956082923,249.70987523136705,5.909875231367039,ARRIVAL,2026-02-18 07:40:46.103396198,"[11.52, 2800.0, 124.8, 5.9, 1088.0, 3, -16.4]"
4bb065,2026-02-17 23:17:28.669334,23625.0,14150.0,-1472.0,345.4,41.157113,29.481187,310.7,THY9MZ,A3,-17.4,10.0,32.16258837329297,206.7081505385673,103.99184946143268,ARRIVAL,2026-02-17 23:27:05.792638346,"[32.16, 14150.0, 345.4, 104.0, -1472.0, 3, -17.4]"
4bb06f,2026-02-17 17:34:19.841181,26225.0,16025.0,-1216.0,321.0,41.042827,29.32226,320.3,THY73A,A3,-14.8,10.0,16.074750426317348,183.9155421036419,136.3844578963581,ARRIVAL,2026-02-17 17:47:30.915417844,"[16.07, 16025.0, 321.0, 136.4, -1216.0, 3, -14.8]"
4bb0e4,2026-02-18 04:29:58.002868,32350.0,15225.0,-1856.0,305.5,41.084702,29.382385,334.2,THY45T,A5,-17.1,9.0,21.585982474174244,196.55641223821615,137.64358776178383,ARRIVAL,2026-02-18 04:38:10.674368000,"[21.59, 15225.0, 305.5, 137.6, -1856.0, 5, -17.1]"
4bb0f5,2026-02-18 05:39:35.668634,24700.0,13700.0,-1536.0,356.6,41.081419,29.365082,328.2,THY75G,A5,-15.4,10.0,20.86261742654619,193.01059158402526,135.18940841597473,ARRIVAL,2026-02-18 05:48:31.325883998,"[20.86, 13700.0, 356.6, 135.2, -1536.0, 5, -15.4]"
4bb0fa,2026-02-18 04:13:22.607641,26375.0,17125.0,-1600.0,363.4,41.282478,29.690552,298.6,THY057,A5,-18.9,10.0,53.3235212246397,216.94813650909379,81.65186349090624,ARRIVAL,2026-02-18 04:24:05.301141000,"[53.32, 17125.0, 363.4, 81.7, -1600.0, 5, -18.9]"
4bb102,2026-02-18 06:08:48.301147,11025.0,13650.0,-896.0,347.8,41.119452,29.412211,323.1,THY38X,A5,-16.0,10.0,26.034330077696556,199.424227907692,123.67577209230802,ARRIVAL,2026-02-18 06:24:02.877647000,"[26.03, 13650.0, 347.8, 123.7, -896.0, 5, -16.0]"
4bb105,2026-02-18 04:56:10.586388,32275.0,13925.0,-2880.0,374.1,41.233272,29.597605,305.6,THY39V,A5,-17.1,9.0,44.37873147382608,213.107536556921,92.49246344307903,ARRIVAL,2026-02-18 05:01:01.207554664,"[44.38, 13925.0, 374.1, 92.5, -2880.0, 5, -17.1]"
4bb107,2026-02-18 04:24:51.572478,29275.0,16275.0,-1728.0,371.0,41.064008,29.349851,329.9,THY81K,A5,-15.6,10.0,18.706404899990243,190.52399590092367,139.3760040990763,ARRIVAL,2026-02-18 04:34:17.195644668,"[18.71, 16275.0, 371.0, 139.4, -1728.0, 5, -15.6]"
4bb10a,2026-02-18 05:01:59.728986,30100.0,14950.0,-2112.0,378.1,41.253941,29.641675,302.5,THY067,A5,-17.5,9.0,48.35159354274853,215.3056857667087,87.1943142332913,ARRIVAL,2026-02-18 05:09:04.966895088,"[48.35, 14950.0, 378.1, 87.2, -2112.0, 5, -17.5]"
4bb144,2026-02-17 22:26:36.260946,20125.0,13650.0,-64.0,304.0,40.673482,30.303164,297.8,THY3NM,A5,-17.3,0.0,87.34660098000141,286.9775768093738,10.822423190626239,ARRIVAL,2026-02-17 22:53:54.840946000,"[87.35, 13650.0, 304.0, 10.8, -64.0, 5, -17.3]"
4bb182,2026-02-18 05:16:17.467665,27825.0,19800.0,-1408.0,400.4,41.260133,29.54311,306.5,THY311,A5,-17.4,9.0,44.72676578669337,206.07563422858507,100.42436577141493,ARRIVAL,2026-02-18 05:30:21.859665000,"[44.73, 19800.0, 400.4, 100.4, -1408.0, 5, -17.4]"
4bb190,2026-02-18 08:17:38.581037,30575.0,8150.0,-1856.0,241.9,40.896653,29.220949,275.0,THY2JK,A5,-12.4,9.0,7.420662700994263,88.29927955175754,173.29927955175754,ARRIVAL,2026-02-18 08:22:02.706864586,"[7.42, 8150.0, 241.9, 173.3, -1856.0, 5, -12.4]"
4bb1a3,2026-02-17 18:40:41.641927,26900.0,14325.0,-2048.0,370.0,41.118576,29.413696,288.4,THY2PE,A5,-13.2,9.0,25.984269099190538,199.75531638076893,88.64468361923105,ARRIVAL,2026-02-17 18:47:41.994661372,"[25.98, 14325.0, 370.0, 88.6, -2048.0, 5, -13.2]"
4bb1c6,2026-02-18 03:38:27.619920,20550.0,15425.0,-1472.0,362.2,41.23764,29.874329,296.6,THY34D,A5,-16.5,9.0,60.54550806769837,231.67512372685147,64.92487627314856,ARRIVAL,2026-02-18 03:48:57.066333044,"[60.55, 15425.0, 362.2, 64.9, -1472.0, 5, -16.5]"
4bb1e2,2026-02-17 18:10:25.700032,26575.0,15125.0,-1536.0,351.9,41.037643,29.335083,319.6,THY093,A5,-14.0,9.0,15.612855558705316,188.0094461814227,131.59055381857732,ARRIVAL,2026-02-17 18:20:17.258344498,"[15.61, 15125.0, 351.9, 131.6, -1536.0, 5, -14.0]"
4bb1e3,2026-02-17 19:13:22.425561,27400.0,12525.0,-1024.0,305.7,41.155111,29.459215,312.6,THY5011,A5,-17.0,9.0,31.175383969211225,203.85614361105476,108.74385638894526,ARRIVAL,2026-02-17 19:25:37.051279750,"[31.18, 12525.0, 305.7, 108.7, -1024.0, 5, -17.0]"
4bb1e4,2026-02-18 08:20:47.770891,22550.0,12475.0,-1088.0,365.5,41.07397,29.35216,329.2,THY095,A5,-18.7,9.0,19.83085334882209,190.49076790699982,138.70923209300017,ARRIVAL,2026-02-18 08:32:16.470449826,"[19.83, 12475.0, 365.5, 138.7, -1088.0, 5, -18.7]"
4bb208,2026-02-18 09:06:24.849282,12750.0,7100.0,1152.0,216.0,40.986592,29.111959,269.5,THY365,A3,-12.2,9.0,19.24037377952164,120.50114665673334,148.99885334326666,ARRIVAL,2026-02-18 09:12:35.416948664,"[19.24, 7100.0, 216.0, 149.0, 1152.0, 3, -12.2]"
4bb20a,2026-02-18 01:33:49.256198,5600.0,4625.0,-768.0,229.7,41.052567,29.147888,348.4,THY6950,A3,-14.0,9.0,21.82887415094879,141.60288035883838,153.2028803588384,ARRIVAL,2026-02-18 01:39:51.362323002,"[21.83, 4625.0, 229.7, 153.2, -768.0, 3, -14.0]"
4bb20c,2026-02-18 06:17:37.931227,17475.0,13825.0,960.0,326.0,40.543508,30.523515,325.4,THY9UA,A3,-15.6,0.0,109.68703262084037,291.49367312288064,33.90632687711934,ARRIVAL,2026-02-18 06:32:02.773727002,"[109.69, 13825.0, 326.0, 33.9, 960.0, 3, -15.6]"
