hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
503cb3,2026-02-17 20:00:14.534517,34600.0,40000.0,64.0,469.1,41.28447,29.484863,344.0,ELY5105,A3,-16.6,9.0,45.36189038829709,198.9946403592518,145.0053596407482,DEPARTURE,2026-02-17 18:39:54.953517000,"[45.36, 40000.0, 469.1, 145.0, 64.0, 3, -16.6]"
507c55,2026-02-17 22:46:08.939786,21700.0,33125.0,1536.0,482.4,40.705137,30.327572,104.0,UZB274,A5,-18.0,9.0,88.37560799714575,284.420559727872,179.579440272128,DEPARTURE,2026-02-17 22:24:15.703473502,"[88.38, 33125.0, 482.4, 179.6, 1536.0, 5, -18.0]"
507c89,2026-02-17 17:05:30.246500,15900.0,32375.0,1152.0,454.5,40.650604,30.478882,96.1,QNT576,A5,-17.3,9.0,102.28099212930177,286.02229706715497,170.07770293284503,DEPARTURE,2026-02-17 16:37:04.809583334,"[102.28, 32375.0, 454.5, 170.1, 1152.0, 5, -17.3]"
507cc3,2026-02-18 00:33:45.562889,24300.0,31025.0,256.0,449.5,40.634471,30.669583,103.0,MFX306,A3,-18.3,9.0,118.2698345650493,284.8219668735596,178.17803312644043,DEPARTURE,2026-02-17 23:31:23.381889000,"[118.27, 31025.0, 449.5, 178.2, 256.0, 3, -18.3]"
601832,2026-02-17 18:51:29.980029,20950.0,31825.0,1408.0,462.8,40.652344,30.405762,95.1,TUA924,A3,-15.1,9.0,96.30992864079906,286.8754029739152,168.2245970260848,DEPARTURE,2026-02-17 18:28:34.451051730,"[96.31, 31825.0, 462.8, 168.2, 1408.0, 3, -15.1]"
70000b,2026-02-18 00:47:18.442964,8950.0,34500.0,1216.0,430.7,40.6436,30.568176,96.4,KMF9012,A3,-17.9,9.0,109.744265853349,285.38375157125745,171.01624842874256,DEPARTURE,2026-02-18 00:18:36.183332422,"[109.74, 34500.0, 430.7, 171.0, 1216.0, 3, -17.9]"
700017,2026-02-18 01:47:20.129054,24975.0,31925.0,1632.0,425.3,40.651788,30.47183,95.9,AFG720,A0,-17.2,,101.67284574055746,286.0389129622922,169.8610870377078,DEPARTURE,2026-02-18 01:27:26.470818706,"[101.67, 31925.0, 425.3, 169.9, 1632.0, 0, -17.2]"
700025,2026-02-18 04:23:13.432626,3600.0,27250.0,2400.0,399.2,40.659749,30.371579,96.0,KMF9920,A3,-16.4,9.0,93.31152581368364,286.8829384374001,169.11706156259987,DEPARTURE,2026-02-18 04:11:32.251625998,"[93.31, 27250.0, 399.2, 169.1, 2400.0, 3, -16.4]"
717c9c,2026-02-18 01:28:41.127889,25000.0,32600.0,64.0,363.8,39.955693,29.865209,168.9,KNE1558,A3,-17.9,9.0,114.92424111157105,336.0055565693638,167.1055565693638,DEPARTURE,2026-02-18 00:23:09.595889000,"[114.92, 32600.0, 363.8, 167.1, 64.0, 3, -17.9]"
71c254,2026-02-17 18:21:28.246422,22925.0,28900.0,1216.0,473.4,40.5983,30.142115,85.5,AAR552,A5,-14.9,10.0,77.70430188581545,295.7216587304398,149.7783412695602,DEPARTURE,2026-02-17 17:57:22.575579896,"[77.7, 28900.0, 473.4, 149.8, 1216.0, 5, -14.9]"
732e01,2026-02-17 22:20:39.068872,28025.0,34675.0,1344.0,462.0,,,97.4,CPN7903,A3,-17.5,0.0,,,180.0,DEPARTURE,2026-02-17 21:54:31.494800570,"[50.0, 34675.0, 462.0, 180.0, 1344.0, 3, -17.5]"
73348c,2026-02-17 20:46:49.007039,18675.0,34325.0,1856.0,500.6,40.650467,30.479919,95.8,IRB9708,A5,-15.5,10.0,102.36928349190421,286.0176529530899,169.7823470469101,DEPARTURE,2026-02-17 20:27:59.454642446,"[102.37, 34325.0, 500.6, 169.8, 1856.0, 5, -15.5]"
734d26,2026-02-17 21:38:20.223789,17600.0,31200.0,,400.0,,,,MRJ4806,,-18.8,,,,180.0,DEPARTURE,2026-02-17 20:35:36.613789000,"[50.0, 31200.0, 400.0, 180.0, 0.0, 0, -18.8]"
781698,2026-02-18 08:25:19.860137,12450.0,12500.0,2560.0,336.0,,,208.2,,,-18.4,,,,180.0,DEPARTURE,2026-02-18 08:20:06.995387000,"[50.0, 12500.0, 336.0, 180.0, 2560.0, 0, -18.4]"
885116,2026-02-17 17:11:45.359976,11025.0,24475.0,1216.0,473.4,40.654488,30.233314,98.6,THA901,A5,-12.8,10.0,82.41182614508357,289.5318187397997,169.0681812602003,DEPARTURE,2026-02-17 16:51:18.365949682,"[82.41, 24475.0, 473.4, 169.1, 1216.0, 5, -12.8]"
894094,2026-02-17 17:28:58.527225,16975.0,31450.0,1856.0,472.1,40.674454,30.4422,101.9,GFA044,A3,-17.7,9.0,98.59008102028177,285.0129369892573,176.8870630107427,DEPARTURE,2026-02-17 17:11:42.788638796,"[98.59, 31450.0, 472.1, 176.9, 1856.0, 3, -17.7]"
8940d7,2026-02-18 06:46:43.045039,25225.0,35000.0,64.0,451.6,40.675251,30.483815,104.1,GFA046,A3,-19.2,9.0,101.96145728750462,284.4806985303461,179.6193014696539,DEPARTURE,2026-02-18 05:36:23.076039000,"[101.96, 35000.0, 451.6, 179.6, 64.0, 3, -19.2]"
8960fa,2026-02-17 17:14:25.561466,21800.0,27725.0,1152.0,497.7,40.635355,29.957407,93.1,UAE6FJ,A5,-13.6,10.0,61.94178163940475,298.4121541816195,154.6878458183805,DEPARTURE,2026-02-17 16:50:01.809049332,"[61.94, 27725.0, 497.7, 154.7, 1152.0, 5, -13.6]"
8963b5,2026-02-17 19:19:19.864492,27100.0,33175.0,0.0,492.0,40.633866,30.487248,90.6,FDB2MF,A3,-17.3,9.0,103.48550177164991,286.91023698205936,163.68976301794063,DEPARTURE,2026-02-17 18:12:39.821492000,"[103.49, 33175.0, 492.0, 163.7, 0.0, 3, -17.3]"
8964c6,2026-02-18 01:16:28.571686,26450.0,24975.0,960.0,420.4,40.623438,30.371454,119.2,ABY284,A3,-18.0,9.0,94.55310766671299,289.22638812299806,170.02638812299807,DEPARTURE,2026-02-18 00:50:07.864186000,"[94.55, 24975.0, 420.4, 170.0, 960.0, 3, -18.0]"
